AT,A_L
6.72,219.44
68.88,217.17
128.54,213.76
185.73,206.98
245.39,201.33
305.06,194.55
362.24,186.64
419.42,178.73
449.26,174.21
508.92,166.3
568.59,158.39
625.77,150.49
685.44,142.58
745.11,135.8
804.77,127.89
861.96,122.23
921.62,115.45
981.29,110.92
1038.47,104.14
1098.14,99.61
1157.81,93.96
1217.47,89.43
1277.14,84.9
1336.81,81.5
1393.99,78.1
1453.66,74.7
1515.81,71.29
1575.48,67.89
